"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher"
"        Estimate","611","14.1%","47.8%","35.7%","2.5%","6,265","4.9%","7.6%","45.3%","24.6%","7.0%","8.1%","2.4%","87.4%","10.5%","852","91.3%","5.8%","1,085","89.9%","14.3%","2,559","88.2%","11.8%","1,769","82.9%","8.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","324","17.9%","47.2%","32.4%","2.5%","3,023","4.8%","7.4%","44.3%","24.9%","6.3%","9.9%","2.5%","87.8%","12.4%","432","94.4%","3.9%","536","91.4%","15.5%","1,290","88.0%","13.7%","765","81.3%","12.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","287","9.8%","48.4%","39.4%","2.4%","3,242","5.1%","7.9%","46.1%","24.3%","7.8%","6.4%","2.4%","87.0%","8.8%","420","88.1%","7.6%","549","88.3%","13.1%","1,269","88.4%","9.9%","1,004","84.1%","5.5%"
"Lyon County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","753","13.8%","51.9%","27.4%","6.9%","7,644","8.7%","5.4%","39.4%","20.1%","10.5%","12.2%","3.7%","85.9%","15.9%","1,347","94.7%","23.5%","1,319","95.2%","21.7%","2,974","93.7%","14.5%","2,004","62.2%","8.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","395","16.5%","56.5%","21.5%","5.6%","3,719","10.0%","6.1%","41.0%","18.0%","9.1%","11.6%","4.2%","83.9%","15.8%","679","95.3%","19.4%","669","91.6%","24.2%","1,525","93.2%","14.6%","846","51.8%","8.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","358","10.9%","46.9%","33.8%","8.4%","3,925","7.5%","4.7%","38.0%","22.0%","11.9%","12.7%","3.2%","87.8%","15.9%","668","94.2%","27.7%","650","98.9%","19.1%","1,449","94.2%","14.4%","1,158","69.8%","9.2%"
"Madison County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","951","6.0%","36.1%","48.7%","9.3%","10,320","2.6%","4.5%","43.2%","22.2%","9.4%","13.5%","4.7%","93.0%","18.2%","1,622","97.5%","19.4%","2,273","96.6%","26.8%","4,146","93.3%","18.4%","2,279","85.5%","8.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","513","5.1%","36.6%","49.3%","9.0%","5,040","2.9%","4.6%","43.6%","21.3%","10.3%","13.0%","4.3%","92.5%","17.3%","790","94.9%","13.8%","1,144","94.6%","21.9%","2,089","94.7%","19.6%","1,017","83.7%","10.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","438","7.1%","35.4%","47.9%","9.6%","5,280","2.3%","4.3%","42.8%","23.1%","8.5%","14.0%","5.0%","93.4%","19.0%","832","100.0%","24.8%","1,129","98.7%","31.7%","2,057","91.8%","17.1%","1,262","87.0%","7.1%"
"Mahaska County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,209","8.1%","22.4%","64.2%","5.3%","14,673","5.0%","6.9%","42.8%","18.7%","8.7%","13.0%","4.9%","88.0%","17.9%","2,619","93.4%","27.5%","2,680","93.4%","20.3%","5,837","91.6%","15.6%","3,537","74.1%","12.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,212","10.6%","26.0%","61.1%","2.3%","7,174","5.3%","7.6%","45.1%","18.0%","8.4%","9.5%","6.1%","87.1%","15.6%","1,308","92.1%","19.9%","1,404","89.8%","15.2%","2,955","91.7%","14.0%","1,507","71.1%","15.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","997","5.0%","18.1%","68.0%","8.9%","7,499","4.8%","6.3%","40.6%","19.3%","9.0%","16.3%","3.7%","88.9%","20.0%","1,311","94.7%","35.1%","1,276","97.3%","26.0%","2,882","91.4%","17.1%","2,030","76.3%","10.5%"
"Marion County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,433","6.9%","26.8%","60.1%","6.3%","21,598","3.9%","4.7%","37.4%","20.6%","9.4%","16.7%","7.3%","91.4%","24.0%","3,548","97.4%","32.5%","4,149","96.5%","32.7%","8,688","93.8%","23.0%","5,213","79.0%","12.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,742","7.1%","35.2%","50.6%","7.1%","10,464","3.9%","4.7%","37.9%","20.5%","8.3%","15.6%","9.0%","91.3%","24.6%","1,782","96.0%","25.8%","2,073","95.4%","30.9%","4,389","93.1%","26.5%","2,220","80.1%","13.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,691","6.6%","18.1%","69.8%","5.4%","11,134","3.9%","4.7%","36.8%","20.7%","10.4%","17.8%","5.7%","91.4%","23.4%","1,766","98.9%","39.3%","2,076","97.6%","34.4%","4,299","94.6%","19.5%","2,993","78.1%","12.1%"
"Marshall County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,415","26.2%","32.2%","36.5%","5.1%","26,538","7.6%","6.8%","35.7%","21.2%","10.1%","12.9%","5.7%","85.7%","18.7%","4,357","82.1%","17.8%","4,882","85.1%","18.7%","10,734","90.2%","22.1%","6,565","81.0%","13.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,809","25.2%","34.7%","35.5%","4.6%","12,998","8.5%","6.7%","37.3%","19.3%","9.4%","12.8%","5.9%","84.8%","18.7%","2,229","82.1%","11.7%","2,414","85.6%","16.3%","5,459","89.3%","22.8%","2,896","77.8%","18.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,606","27.4%","29.5%","37.6%","5.5%","13,540","6.7%","6.9%","34.2%","22.9%","10.8%","13.0%","5.5%","86.5%","18.6%","2,128","82.1%","24.2%","2,468","84.7%","20.9%","5,275","91.2%","21.3%","3,669","83.5%","9.8%"
"Mills County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","969","20.2%","47.7%","29.9%","2.2%","10,354","7.8%","5.5%","31.3%","22.0%","10.8%","17.5%","5.1%","86.7%","22.6%","1,614","91.6%","25.5%","2,059","86.6%","37.8%","4,657","87.4%","19.0%","2,024","81.4%","12.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","534","21.5%","47.9%","30.5%","0.0%","5,108","10.1%","6.0%","31.0%","21.0%","9.8%","17.3%","4.9%","83.9%","22.2%","779","89.2%","20.0%","1,051","83.9%","31.8%","2,353","83.8%","19.8%","925","79.7%","18.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","435","18.6%","47.4%","29.2%","4.8%","5,246","5.5%","5.0%","31.7%","23.0%","11.8%","17.7%","5.3%","89.5%","23.0%","835","93.9%","30.7%","1,008","89.4%","44.1%","2,304","91.1%","18.2%","1,099","82.8%","7.7%"
"Mitchell County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","732","8.5%","23.9%","60.8%","6.8%","7,323","6.0%","4.3%","39.9%","21.9%","11.2%","12.4%","4.2%","89.6%","16.6%","946","93.8%","21.5%","1,200","97.8%","16.3%","2,840","96.8%","18.2%","2,337","75.1%","13.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","392","8.2%","27.3%","59.7%","4.8%","3,531","7.8%","3.9%","41.6%","20.0%","10.3%","11.0%","5.4%","88.3%","16.4%","495","92.1%","17.6%","597","97.2%","14.6%","1,451","96.9%","17.5%","988","68.4%","15.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","340","8.8%","20.0%","62.1%","9.1%","3,792","4.5%","4.7%","38.4%","23.6%","12.0%","13.7%","3.2%","90.9%","16.9%","451","95.6%","25.7%","603","98.3%","17.9%","1,389","96.8%","18.9%","1,349","79.9%","11.3%"
"Monona County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","577","15.6%","45.2%","23.4%","15.8%","6,694","4.7%","7.8%","43.0%","21.3%","8.5%","12.1%","2.6%","87.6%","14.7%","803","94.4%","16.3%","981","90.0%","18.0%","2,712","92.0%","14.1%","2,198","78.6%","13.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","292","6.2%","66.8%","14.0%","13.0%","3,217","5.6%","8.1%","44.7%","21.4%","9.1%","9.0%","2.1%","86.3%","11.1%","413","93.5%","8.5%","495","89.5%","11.9%","1,400","90.7%","11.0%","909","74.5%","11.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","285","25.3%","23.2%","33.0%","18.6%","3,477","3.8%","7.4%","41.5%","21.2%","8.0%","15.0%","3.0%","88.8%","18.0%","390","95.4%","24.6%","486","90.5%","24.3%","1,312","93.3%","17.4%","1,289","81.5%","14.4%"
"Monroe County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","524","13.5%","23.3%","50.0%","13.2%","5,528","4.4%","7.3%","42.6%","19.2%","11.4%","11.1%","4.0%","88.3%","15.1%","867","89.4%","18.2%","989","94.2%","23.1%","2,204","91.0%","13.7%","1,468","79.8%","10.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","285","24.9%","14.0%","46.7%","14.4%","2,640","2.8%","8.3%","51.5%","16.2%","10.5%","8.0%","2.7%","88.9%","10.7%","392","84.4%","2.0%","493","93.9%","21.1%","1,112","90.8%","11.5%","643","84.3%","6.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","239","0.0%","34.3%","54.0%","11.7%","2,888","5.7%","6.4%","34.5%","22.0%","12.2%","14.0%","5.2%","87.8%","19.2%","475","93.5%","31.6%","496","94.6%","25.0%","1,092","91.1%","16.0%","825","76.2%","12.7%"
"Montgomery County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","673","29.1%","29.7%","33.0%","8.2%","7,622","6.7%","5.6%","37.4%","22.9%","9.8%","14.3%","3.3%","87.7%","17.6%","1,028","87.1%","20.2%","1,275","93.3%","19.5%","3,160","91.6%","20.8%","2,159","79.0%","10.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","350","24.6%","34.0%","34.9%","6.6%","3,624","9.2%","6.2%","36.5%","20.2%","8.7%","15.1%","4.1%","84.5%","19.2%","525","81.5%","20.8%","624","94.7%","19.1%","1,620","86.9%","21.7%","855","74.6%","13.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","323","34.1%","25.1%","31.0%","9.9%","3,998","4.4%","5.1%","38.3%","25.3%","10.9%","13.5%","2.6%","90.6%","16.1%","503","92.8%","19.7%","651","91.9%","20.0%","1,540","96.6%","19.8%","1,304","81.9%","8.4%"
"Muscatine County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,452","23.2%","36.3%","35.6%","4.9%","27,870","7.3%","8.4%","32.6%","21.3%","10.5%","13.4%","6.5%","84.3%","19.8%","5,031","83.5%","20.4%","5,673","86.8%","22.3%","11,594","87.2%","20.5%","5,572","76.6%","15.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,769","21.5%","41.8%","32.4%","4.2%","13,598","7.8%","9.5%","34.6%","18.4%","9.0%","13.7%","7.1%","82.8%","20.8%","2,523","77.7%","17.0%","2,824","86.4%","22.6%","5,925","84.6%","21.1%","2,326","79.0%","21.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,683","25.0%","30.5%","39.0%","5.5%","14,272","6.9%","7.4%","30.7%","24.2%","12.0%","13.1%","5.8%","85.8%","19.0%","2,508","89.3%","23.9%","2,849","87.2%","21.9%","5,669","89.8%","20.0%","3,246","74.8%","10.8%"
"O'Brien County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,030","27.0%","31.7%","37.2%","4.2%","9,996","5.9%","5.3%","38.1%","21.9%","9.5%","15.2%","4.1%","88.8%","19.3%","1,398","90.7%","21.8%","1,514","95.4%","28.5%","4,067","95.1%","23.3%","3,017","76.2%","8.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","557","30.3%","33.4%","34.1%","2.2%","4,789","5.7%","6.2%","37.5%","22.1%","8.1%","14.4%","6.0%","88.1%","20.5%","734","87.2%","19.1%","761","93.0%","29.4%","2,067","96.0%","23.2%","1,227","72.4%","11.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","473","23.0%","29.6%","40.8%","6.6%","5,207","6.1%","4.5%","38.7%","21.8%","10.8%","15.9%","2.3%","89.5%","18.2%","664","94.6%","24.8%","753","97.7%","27.6%","2,000","94.2%","23.4%","1,790","78.8%","5.9%"
"Osceola County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","493","18.1%","38.5%","30.2%","13.2%","4,495","8.5%","5.0%","42.6%","20.2%","7.4%","12.9%","3.4%","86.5%","16.3%","658","88.9%","12.2%","771","98.1%","29.2%","1,773","94.3%","18.4%","1,293","67.6%","7.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","272","21.3%","37.9%","25.0%","15.8%","2,174","9.9%","3.6%","47.7%","15.5%","5.8%","13.2%","4.3%","86.5%","17.4%","341","91.8%","10.9%","383","98.4%","31.3%","914","93.2%","19.0%","536","63.1%","9.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","221","14.0%","39.4%","36.7%","10.0%","2,321","7.2%","6.3%","37.8%","24.6%","8.8%","12.8%","2.5%","86.5%","15.3%","317","85.8%","13.6%","388","97.7%","27.1%","859","95.5%","17.7%","757","70.8%","7.1%"
"Page County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,059","24.9%","46.2%","23.8%","5.1%","11,546","3.6%","8.9%","41.3%","21.2%","8.3%","12.6%","4.1%","87.5%","16.7%","1,804","78.9%","12.0%","1,990","89.9%","16.3%","4,579","94.2%","20.5%","3,173","81.2%","14.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","607","34.6%","37.1%","24.9%","3.5%","5,940","3.4%","12.3%","40.1%","21.8%","6.6%","11.3%","4.4%","84.3%","15.8%","1,082","71.7%","6.8%","1,148","85.3%","14.1%","2,419","92.9%","21.2%","1,291","77.7%","14.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","452","11.9%","58.4%","22.3%","7.3%","5,606","3.8%","5.2%","42.7%","20.5%","10.1%","13.9%","3.8%","91.0%","17.7%","722","89.8%","19.7%","842","96.3%","19.2%","2,160","95.7%","19.6%","1,882","83.7%","14.2%"
"Palo Alto County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","883","4.0%","25.6%","65.5%","5.0%","6,530","5.5%","7.2%","36.7%","23.0%","11.4%","12.6%","3.5%","87.2%","16.1%","998","93.2%","27.0%","968","96.1%","17.5%","2,555","89.1%","15.8%","2,009","77.7%","10.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","480","5.4%","24.6%","63.3%","6.7%","3,135","7.4%","7.6%","35.2%","25.3%","10.5%","10.1%","3.9%","85.0%","14.0%","524","90.5%","15.6%","484","97.1%","18.0%","1,320","88.6%","13.2%","807","68.3%","11.9%"
