"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher"
"        Estimate","153","10.5%","16.3%","64.1%","9.2%","1,875","4.5%","6.1%","35.7%","23.7%","9.8%","14.3%","5.9%","89.4%","20.2%","225","96.9%","29.3%","230","83.9%","30.0%","700","94.3%","25.0%","720","84.0%","9.6%"
"Sac County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","640","18.4%","27.2%","41.6%","12.8%","7,265","2.2%","6.2%","40.6%","21.1%","10.5%","14.5%","4.9%","91.7%","19.4%","956","92.6%","27.2%","1,023","94.6%","23.6%","3,022","93.8%","18.5%","2,264","87.0%","15.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","337","19.9%","35.0%","36.5%","8.6%","3,526","1.6%","8.0%","45.2%","19.2%","8.7%","12.6%","4.7%","90.4%","17.2%","507","89.2%","22.1%","521","93.9%","14.4%","1,544","91.1%","17.7%","954","88.1%","15.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","303","16.8%","18.5%","47.2%","17.5%","3,739","2.7%","4.4%","36.3%","22.9%","12.1%","16.4%","5.1%","92.9%","21.5%","449","96.4%","33.0%","502","95.4%","33.1%","1,478","96.8%","19.3%","1,310","86.3%","15.6%"
"Scott County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,735","14.0%","28.1%","47.4%","10.5%","113,085","2.1%","5.3%","27.9%","21.6%","11.1%","20.4%","11.6%","92.6%","31.9%","22,944","94.6%","38.9%","21,545","94.0%","37.0%","45,545","93.6%","29.9%","23,051","87.0%","24.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,244","16.7%","30.2%","41.3%","11.8%","54,684","2.1%","5.2%","28.9%","21.2%","10.3%","20.5%","11.9%","92.7%","32.4%","11,341","94.9%","35.7%","10,925","93.1%","35.0%","22,439","94.1%","30.3%","9,979","86.9%","30.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,491","11.3%","26.1%","53.3%","9.2%","58,401","2.2%","5.4%","26.8%","22.1%","11.9%","20.3%","11.3%","92.4%","31.5%","11,603","94.4%","42.1%","10,620","95.0%","39.0%","23,106","93.2%","29.6%","13,072","87.1%","19.5%"
"Shelby County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","774","15.5%","22.5%","54.4%","7.6%","8,498","4.1%","4.4%","39.1%","20.4%","12.3%","14.5%","5.2%","91.6%","19.7%","1,012","91.8%","23.6%","1,253","94.4%","31.8%","3,597","94.4%","19.2%","2,636","86.3%","13.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","397","16.4%","26.2%","52.1%","5.3%","4,108","5.7%","4.8%","43.7%","20.5%","9.8%","10.7%","4.7%","89.5%","15.4%","531","87.4%","20.0%","614","90.1%","16.0%","1,819","92.7%","13.7%","1,144","85.0%","15.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","377","14.6%","18.6%","56.8%","10.1%","4,390","2.6%","3.9%","34.8%","20.4%","14.7%","17.9%","5.7%","93.5%","23.7%","481","96.7%","27.7%","639","98.6%","46.9%","1,778","96.1%","24.9%","1,492","87.3%","11.0%"
"Sioux County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,704","8.9%","20.5%","63.0%","7.6%","20,356","6.6%","4.8%","32.6%","19.0%","12.1%","17.3%","7.6%","88.6%","24.9%","4,089","89.0%","28.9%","3,520","92.4%","25.7%","7,858","93.6%","27.4%","4,889","77.4%","16.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,460","5.4%","18.0%","72.4%","4.2%","10,109","6.4%","6.2%","32.0%","18.8%","11.2%","17.2%","8.3%","87.4%","25.4%","2,139","85.5%","25.5%","1,791","92.7%","22.2%","4,079","91.1%","28.1%","2,100","77.7%","22.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,244","12.8%","23.2%","52.8%","11.2%","10,247","6.9%","3.3%","33.2%","19.2%","13.0%","17.5%","6.9%","89.8%","24.4%","1,950","92.9%","32.5%","1,729","92.0%","29.3%","3,779","96.4%","26.7%","2,789","77.2%","12.5%"
"Story County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","27,878","1.6%","10.4%","75.0%","13.1%","48,013","1.5%","2.7%","18.7%","19.4%","9.1%","27.8%","20.7%","95.8%","48.5%","12,395","96.4%","53.9%","8,491","97.9%","58.0%","17,709","96.6%","45.3%","9,418","91.3%","38.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,411","1.8%","10.6%","76.0%","11.7%","24,025","1.5%","3.0%","17.9%","19.6%","8.0%","26.4%","23.5%","95.4%","49.9%","6,668","96.4%","51.0%","4,567","97.4%","54.3%","8,688","95.9%","46.5%","4,102","90.7%","50.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,467","1.3%","10.1%","73.8%","14.8%","23,988","1.5%","2.4%","19.5%","19.2%","10.3%","29.2%","17.9%","96.1%","47.1%","5,727","96.4%","57.4%","3,924","98.6%","62.4%","9,021","97.3%","44.1%","5,316","91.8%","29.8%"
"Tama County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,274","18.1%","40.3%","33.8%","7.7%","11,969","3.5%","6.0%","40.5%","21.0%","12.8%","12.0%","4.2%","90.4%","16.2%","1,751","93.7%","16.8%","2,057","89.7%","21.2%","4,867","93.9%","16.7%","3,294","83.9%","11.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","642","16.5%","45.6%","32.1%","5.8%","5,821","3.4%","6.7%","43.9%","22.0%","9.8%","9.7%","4.4%","89.9%","14.2%","892","91.0%","12.6%","1,019","88.4%","15.0%","2,436","93.9%","14.9%","1,474","83.5%","13.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","632","19.8%","35.0%","35.6%","9.7%","6,148","3.7%","5.4%","37.2%","20.1%","15.6%","14.1%","3.9%","90.9%","18.0%","859","96.5%","21.3%","1,038","91.0%","27.3%","2,431","94.0%","18.6%","1,820","84.2%","10.5%"
"Taylor County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","353","24.6%","34.8%","34.3%","6.2%","4,438","2.9%","6.1%","41.8%","23.1%","10.7%","11.5%","3.8%","90.9%","15.3%","676","96.0%","17.8%","725","95.2%","17.7%","1,724","91.6%","17.2%","1,313","85.1%","10.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","182","26.4%","25.3%","40.1%","8.2%","2,173","3.8%","6.7%","45.4%","21.0%","9.8%","10.4%","2.9%","89.5%","13.3%","364","96.4%","12.6%","358","96.4%","13.7%","867","90.0%","14.8%","584","80.3%","11.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","171","22.8%","45.0%","28.1%","4.1%","2,265","2.1%","5.6%","38.3%","25.0%","11.7%","12.7%","4.7%","92.3%","17.4%","312","95.5%","23.7%","367","94.0%","21.5%","857","93.2%","19.6%","729","89.0%","9.9%"
"Union County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,067","25.1%","21.4%","44.0%","9.5%","8,556","2.8%","6.0%","37.2%","25.8%","11.7%","13.4%","3.2%","91.2%","16.6%","1,389","94.8%","18.6%","1,360","89.4%","16.3%","3,484","92.5%","19.2%","2,323","88.2%","11.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","569","33.0%","18.5%","37.3%","11.2%","4,029","3.0%","5.9%","38.8%","26.0%","11.3%","10.8%","4.1%","91.1%","14.9%","667","94.0%","17.1%","645","89.9%","2.6%","1,727","92.2%","20.4%","990","88.1%","11.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","498","16.1%","24.7%","51.8%","7.4%","4,527","2.7%","6.0%","35.7%","25.6%","12.0%","15.6%","2.4%","91.3%","18.0%","722","95.6%","20.1%","715","89.0%","28.5%","1,757","92.8%","17.9%","1,333","88.3%","11.4%"
"Van Buren County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","515","21.9%","21.6%","50.5%","6.0%","5,254","4.2%","7.2%","42.0%","20.9%","11.7%","10.4%","3.6%","88.6%","14.0%","764","89.3%","17.1%","802","86.9%","12.0%","2,168","88.9%","11.1%","1,520","88.8%","17.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","273","30.0%","26.4%","40.3%","3.3%","2,589","4.8%","7.7%","47.2%","18.2%","9.9%","8.3%","4.0%","87.6%","12.3%","379","91.0%","11.3%","422","88.4%","11.6%","1,089","88.0%","9.6%","699","84.5%","17.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","242","12.8%","16.1%","62.0%","9.1%","2,665","3.7%","6.7%","36.9%","23.6%","13.5%","12.4%","3.3%","89.6%","15.7%","385","87.5%","22.9%","380","85.3%","12.4%","1,079","89.8%","12.5%","821","92.3%","18.0%"
"Wapello County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,321","23.2%","25.0%","46.9%","5.0%","24,100","6.8%","9.2%","38.0%","20.4%","10.3%","10.5%","4.8%","84.0%","15.3%","4,352","84.3%","15.5%","4,297","83.7%","18.0%","9,618","87.2%","15.4%","5,833","78.7%","12.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,677","28.1%","32.0%","35.4%","4.5%","11,677","7.4%","8.9%","41.4%","19.2%","8.1%","10.0%","5.0%","83.7%","15.0%","2,258","82.3%","13.6%","2,176","86.7%","14.7%","4,764","84.3%","13.3%","2,479","81.1%","19.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,644","18.1%","17.8%","58.6%","5.5%","12,423","6.2%","9.5%","34.9%","21.6%","12.3%","11.0%","4.5%","84.3%","15.5%","2,094","86.4%","17.6%","2,121","80.6%","21.5%","4,854","90.0%","17.4%","3,354","76.9%","7.7%"
"Warren County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,583","9.4%","23.7%","58.3%","8.5%","30,514","1.4%","2.8%","32.9%","24.0%","10.3%","20.6%","7.9%","95.8%","28.5%","5,075","97.7%","36.9%","6,084","97.4%","36.4%","12,735","96.9%","27.8%","6,620","90.7%","16.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,207","9.2%","31.5%","52.0%","7.3%","14,647","1.7%","3.7%","34.8%","22.9%","8.9%","19.6%","8.5%","94.6%","28.1%","2,504","96.9%","28.6%","3,002","97.6%","33.6%","6,234","95.5%","28.5%","2,907","87.6%","21.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,376","9.5%","16.5%","64.3%","9.7%","15,867","1.2%","1.9%","31.2%","24.9%","11.7%","21.6%","7.4%","96.9%","29.0%","2,571","98.5%","45.1%","3,082","97.3%","39.1%","6,501","98.2%","27.1%","3,713","93.1%","12.7%"
"Washington County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,504","14.6%","39.2%","38.0%","8.2%","15,000","5.3%","4.7%","34.9%","22.8%","10.9%","14.5%","7.1%","90.1%","21.5%","2,422","88.8%","21.7%","2,498","95.0%","33.2%","6,147","93.4%","19.5%","3,933","82.4%","17.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","753","20.5%","44.2%","32.1%","3.2%","7,304","5.3%","4.8%","39.6%","21.4%","8.9%","13.8%","6.2%","89.9%","20.0%","1,241","85.1%","19.0%","1,261","92.9%","21.9%","3,068","94.1%","17.5%","1,734","83.6%","23.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","751","8.7%","34.2%","43.8%","13.3%","7,696","5.2%","4.6%","30.4%","24.1%","12.7%","15.0%","7.9%","90.2%","23.0%","1,181","92.7%","24.5%","1,237","97.1%","44.8%","3,079","92.7%","21.4%","2,199","81.5%","12.1%"
"Wayne County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","461","26.7%","30.2%","36.0%","7.2%","4,411","5.5%","5.1%","44.3%","20.2%","11.0%","10.3%","3.5%","89.4%","13.8%","623","93.7%","17.2%","591","92.0%","17.3%","1,744","93.5%","14.3%","1,453","81.5%","10.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","230","16.5%","41.3%","37.8%","4.3%","2,133","5.1%","5.4%","49.1%","18.7%","11.0%","7.7%","3.0%","89.5%","10.8%","319","90.3%","9.1%","297","92.9%","17.2%","913","93.5%","10.3%","604","81.5%","9.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","231","36.8%","19.0%","34.2%","10.0%","2,278","5.8%","4.9%","39.8%","21.7%","11.1%","12.7%","4.0%","89.2%","16.7%","304","97.4%","25.7%","294","91.2%","17.3%","831","93.5%","18.8%","849","81.5%","11.2%"
"Webster County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,049","9.2%","26.8%","59.5%","4.5%","25,241","2.9%","6.7%","32.8%","24.4%","14.0%","13.4%","5.7%","90.4%","19.1%","4,614","90.0%","21.4%","3,992","95.1%","19.1%","10,319","92.5%","20.8%","6,316","84.3%","14.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,387","8.5%","31.5%","56.3%","3.6%","12,607","3.5%","7.2%","33.8%","23.5%","14.1%","11.4%","6.5%","89.3%","17.9%","2,672","87.4%","13.8%","2,074","93.9%","14.5%","5,176","91.3%","20.3%","2,685","83.7%","19.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,662","10.0%","20.0%","64.1%","5.8%","12,634","2.3%","6.1%","31.9%","25.3%","14.0%","15.4%","5.0%","91.5%","20.4%","1,942","93.7%","31.8%","1,918","96.4%","24.0%","5,143","93.7%","21.4%","3,631","84.8%","11.0%"
"Winnebago County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","880","9.4%","22.3%","60.1%","8.2%","7,471","2.2%","5.2%","35.0%","24.6%","11.8%","16.4%","4.9%","92.6%","21.3%","1,087","95.8%","20.7%","1,181","98.0%","31.4%","3,083","93.2%","23.1%","2,120","87.1%","13.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","456","12.5%","22.4%","52.6%","12.5%","3,630","2.2%","5.6%","33.6%","26.4%","11.2%","15.2%","5.8%","92.2%","21.0%","587","95.1%","13.6%","606","98.0%","30.7%","1,556","93.3%","21.9%","881","84.4%","17.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","424","6.1%","22.2%","68.2%","3.5%","3,841","2.2%","4.9%","36.3%","22.8%","12.3%","17.5%","4.0%","92.9%","21.5%","500","96.6%","29.0%","575","97.9%","32.2%","1,527","93.0%","24.4%","1,239","89.0%","10.0%"
"Winneshiek County, Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,253","3.7%","14.4%","78.6%","3.3%","13,552","3.5%","2.8%","37.5%","18.1%","11.3%","16.5%","10.3%","93.7%","26.8%","1,939","97.0%","32.6%","2,137","98.4%","42.9%","5,850","97.6%","21.5%","3,626","83.0%","22.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,570","4.7%","21.1%","70.3%","3.9%","6,704","3.4%","3.5%","42.4%","16.9%","8.7%","14.6%","10.6%","93.2%","25.2%","998","94.9%","24.4%","1,078","98.5%","34.3%","3,014","96.5%","20.5%","1,614","82.2%","28.4%"
